 Total Nb of available Diagnostics: ndiagt=   399
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   282 |SHIICFht|  1 |       |SM      L1|W/m^2           |total ice shelf and ice front heat flux (+ upward)
   283 |ICFfwFlx| 50 |       |SM      MR|kg/m^2/s        |Ice front freshwater flux (+ve increases ocean salt)
   284 |ICFhtFlx| 50 |       |SM      MR|W/m^2           |Ice front heat flux  (+ve cools ocean)
   285 |SHI_TauX|  1 |   286 |UU      L1|N/m^2           |Ice shelf bottom stress, zonal  comp., >0 increases uVel
   286 |SHI_TauY|  1 |   285 |VV      L1|N/m^2           |Ice shelf bottom stress, merid. comp., >0 increases vVel
   287 |SHIForcT|  1 |       |SM      L1|W/m^2           |Ice shelf forcing for theta, >0 increases theta
   288 |SHIForcS|  1 |       |SM      L1|g/m^2/s         |Ice shelf forcing for salt, >0 increases salt
   289 |ICFForcT| 50 |       |SM      MR|W/m^2           |Ice front forcing for theta, >0 increases theta
   290 |ICFForcS| 50 |       |SM      MR|g/m^2/s         |Ice front forcing for salt, >0 increases salt
   291 |SHIICFFT|  1 |       |SM      L1|W/m^2           |total SHI and ICF forcing for T, >0 increases theta
   292 |SHIICFFS|  1 |       |SM      L1|g/m^2/s         |total SHI and ICF forcing for S, >0 increases salt
   293 |SHIgammT| 50 |       |SMR     MR|m/s             |Ice shelf exchange coefficient for theta
   294 |SHIgammS| 50 |       |SMR     MR|m/s             |Ice shelf exchange coefficient for salt
   295 |SHI_mass|  1 |       |SM      L1|kg/m^2          |dynamic ice shelf mass for surface load anomaly
   296 |SHIuStar|  1 |       |SM      L1|m/s             |Friction velocity at bottom of ice shelf
   297 |SHICDrag|  1 |       |SM      L1|1               |Shelfice drag coefficient for u* parameterization
   298 |ADJshicd|  1 |       |SM A    M1|dJ/1            |dJ/dcDrag: Sensitivity to shelfice u* drag coeff
   299 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   301 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   302 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   303 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   304 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   305 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   306 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   307 |SIenpa  |  1 |       |SM      M1|W/m^2           |SEAICE power input by surface wind stresses
   308 |SIenpw  |  1 |       |SM      M1|W/m^2           |SEAICE work done by ocean drag
   309 |SIenph  |  1 |       |SM      M1|W/m^2           |SEAICE power due to change in inertia
   310 |SIenpg  |  1 |       |SM      M1|W/m^2           |SEAICE work generated by gravity
   311 |SIenpi  |  1 |       |SM      M1|W/m^2           |SEAICE work done by internal stress
   312 |SIenpot |  1 |       |SM      M1|W/m^2           |SEAICE work done to change potential energy
   313 |SIpRfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in ridging by internal stresses
   314 |SIpSfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in shearing by internal stresses
   315 |SItices |  1 |   299 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   316 |SIuice  |  1 |   317 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   317 |SIvice  |  1 |   316 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   318 |SItaux  |  1 |   319 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
   319 |SItauy  |  1 |   318 |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
   320 |SIatmTx |  1 |   321 |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
   321 |SIatmTy |  1 |   320 |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
   322 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   323 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   324 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   325 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   326 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   327 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   328 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   329 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   330 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   331 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   332 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   333 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   334 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   335 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   336 |SIfwThru|  1 |       |SM      U1|kg/m^2/s        |Freshwater flux through sea-ice to ocean (+=downward)
   337 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   338 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   339 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   340 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   341 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   342 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   343 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   344 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   345 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   346 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   347 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   348 |SIFao   |  1 |       |SM      U1|W/m^2           |Open Ocean Part of heat flux, >0 incr H
   349 |SIFionet|  1 |       |SM      U1|W/m^2           |Net conductive heat flux between ice and ocean, >0 incr H
   350 |SIFianet|  1 |       |SM      U1|W/m^2           |Net heat flux between ice and atm, >0 incr H
   351 |SIFmi   |  1 |       |SM      M1|W/m^2           |Heat flux between ice and ocean, >0 decr H
   352 |SIANTVC |  1 |       |SM      M1|m/s             |Actual thermodynamic sea-ice volume change, >0 incr H
   353 |SIFFlood|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   354 |SIsnAccR|  1 |       |SM      U1|m/s             |HSNOW rate of change by snow over Sea-Ice
   355 |SIsnmltS|  1 |       |SM      U1|m/s             |HSNOW rate of change by melt from surface, >0 decr H
   356 |SIANTSM |  1 |       |SM      U1|m/s             |Actual snow volume melt, >0 decr HSNOW
   357 |SIgamma |  1 |       |SM      M1|fraction        |Scaling factor to match flux with actual HIFF change
   358 |SIgmacnt|  1 |       |SM      M1|count           |Counter for number of SIgamma different from one
   359 |SIheffNe|  1 |       |SM      M1|m               |Change of SIheff (m) after advection to make them physical
   360 |SIhsnwNe|  1 |       |SM      M1|m               |Change of SIhsnow (m) after advection to make them physical
   361 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   362 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   363 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   364 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   365 |ADVxHEFF|  1 |   366 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   366 |ADVyHEFF|  1 |   365 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   367 |DFxEHEFF|  1 |   368 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff ice thickn
   368 |DFyEHEFF|  1 |   367 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff ice thickn
   369 |ADVxAREA|  1 |   370 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   370 |ADVyAREA|  1 |   369 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   371 |DFxEAREA|  1 |   372 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   372 |DFyEAREA|  1 |   371 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   373 |ADVxSNOW|  1 |   374 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   374 |ADVySNOW|  1 |   373 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   375 |DFxESNOW|  1 |   376 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   376 |DFyESNOW|  1 |   375 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   377 |ADVxSSLT|  1 |   378 |UU      M1|g/kg.m^2/s      |Zonal      Advective Flux of seaice salinity
   378 |ADVySSLT|  1 |   377 |VV      M1|g/kg.m^2/s      |Meridional Advective Flux of seaice salinity
   379 |DFxESSLT|  1 |   380 |UU      M1|g/kg.m^2/s      |Zonal      Diffusive Flux of seaice salinity
   380 |DFyESSLT|  1 |   379 |VV      M1|g/kg.m^2/s      |Meridional Diffusive Flux of seaice salinity
   381 |SIuheff |  1 |   382 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   382 |SIvheff |  1 |   381 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   383 |SIpress |  1 |       |SM      M1|N/m             |SEAICE strength (with upper and lower limit)
   384 |SIzeta  |  1 |       |SM      M1|kg/s            |SEAICE nonlinear bulk viscosity
   385 |SIeta   |  1 |       |SM      M1|kg/s            |SEAICE nonlinear shear viscosity
   386 |SIsig1  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   387 |SIsig2  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   388 |SIshear |  1 |       |SM      M1|1/s             |SEAICE shear deformation rate
   389 |SIdelta |  1 |       |SM      M1|1/s             |SEAICE Delta deformation rate
   390 |SItensil|  1 |       |SM      M1|N/m             |SEAICE maximal tensile strength
   391 |ADJarea |  1 |       |SM A    M1|dJ/(m^2/m^2)    |dJ/darea: Sensitivity to seaice fractional ice-cover
   392 |ADJheff |  1 |       |SM A    M1|dJ/dm           |dJ/dheff: Sensitvity to seaice ice thickness
   393 |ADJhsnow|  1 |       |SM A    M1|dJ/dm           |dJ/dhsnow: Sensitivity to seaice snow thickness
   394 |ADJuice |  1 |   395 |UU A    M1|dJ/(m/s)        |dJ/duice: sensitivity to zonal ice velocity
   395 |ADJvice |  1 |   394 |VV A    M1|dJ/(m/s)        |dJ/dvice: sensitivity to meridional ice velocity
   396 |PLUMEKB | 50 |       |SM      MR|                |fractional plume: [0-1] (unitless)
   397 |oceSPtnd| 50 |       |SM      MR|g/m^2/s         |salt tendency due to salt plume flux >0 increases salinity
   398 |oceSPflx|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux rejected into the ocean during freezing, (+=down),
   399 |oceSPDep|  1 |       |SM      U1|m               |Salt plume depth based on density criterion (>0)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |UVELSTAR| 50 |   401 |UUR     MR|m/s             |X-Comp of Bolus Velocity (m/s) weighted by hFacW
   401 |VVELSTAR| 50 |   400 |VVR     MR|m/s             |Y-Comp of Bolus Velocity (m/s) weighted by hFacS
   402 |WVELSTAR| 50 |       |WM      LR|m/s             |Vertical Component of Bolus Velocity (r_units/s)
   403 |Um_dPHdx| 50 |   404 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   404 |Vm_dPHdy| 50 |   403 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   405 |ALB     |  1 |       |SM      M1|                |Albedo
   406 |ALBICE  |  1 |       |SM      M1|                |Albedo ICE
   407 |ALBSNOW |  1 |       |SM      M1|                |Albedo SNOW
   408 |ALBICEw |  1 |       |SM      M1|                |Albedo ICE-wet
   409 |ALBSNOWw|  1 |       |SM      M1|                |Albedo SNOWwet
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------

