 Total Nb of available Diagnostics: ndiagt=   295
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 50 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 50 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 50 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 50 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 50 |       |SMR     MR|psu/s           |Salinity forcing tendency
   103 |AB_gT   | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 50 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 50 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 50 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 50 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 50 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 50 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 50 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 50 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 50 |   118 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 50 |   117 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 50 |   121 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 50 |   120 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 50 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   124 |VISCAHZ | 50 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z | 50 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD | 50 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D | 50 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW | 50 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W | 50 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX | 50 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX | 50 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX | 50 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX | 50 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN | 50 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN | 50 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN | 50 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN | 50 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH | 50 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH | 50 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH | 50 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH | 50 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD| 50 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD| 50 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD| 50 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD| 50 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG| 50 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG| 50 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG| 50 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG| 50 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   | 50 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv | 50 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3| 50 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  | 50 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension | 50 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |UBotDrag| 50 |   156 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   156 |VBotDrag| 50 |   155 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   157 |USidDrag| 50 |   158 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   158 |VSidDrag| 50 |   157 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   159 |Um_Diss | 50 |   160 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   160 |Vm_Diss | 50 |   159 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   161 |Um_Advec| 50 |   162 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   162 |Vm_Advec| 50 |   161 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   163 |Um_Cori | 50 |   164 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   164 |Vm_Cori | 50 |   163 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   165 |Um_dPHdx| 50 |   166 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   166 |Vm_dPHdy| 50 |   165 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   167 |Um_Ext  | 50 |   168 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   168 |Vm_Ext  | 50 |   167 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   169 |Um_AdvZ3| 50 |   170 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   170 |Vm_AdvZ3| 50 |   169 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   171 |Um_AdvRe| 50 |   172 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   172 |Vm_AdvRe| 50 |   171 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   173 |VISrI_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   174 |VISrI_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   175 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   176 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   177 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   178 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   179 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   180 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   181 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   182 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   183 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   184 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 increases uVel
   185 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 increases uVel
   186 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   187 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   188 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   189 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   190 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   191 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   192 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   193 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   194 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   195 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   196 |GGL90TKE| 50 |       |SM      LR|m^2/s^2         |GGL90 sub-grid turbulent kinetic energy
   197 |GGL90Lmx| 50 |       |SM      LR|m               |Mixing length scale
   198 |GGL90Prl| 50 |       |SM      LR|1               |Prandtl number used in GGL90
   199 |GGL90ArU| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at U-point
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GGL90ArV| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at V-point
   201 |GGL90Kr | 50 |       |SM      LR|m^2/s           |GGL90 diffusion coefficient for temperature
   202 |GGL90flx|  1 |       |SM      L1|m^3/s^3         |Surface flux of TKE
   203 |GGL90tau|  1 |       |SM      L1|m^3/s^3         |Work done by the wind
   204 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   205 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   206 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   207 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   208 |GM_Kux  | 50 |   209 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   209 |GM_Kvy  | 50 |   208 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   210 |GM_Kuz  | 50 |   211 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   211 |GM_Kvz  | 50 |   210 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   212 |GM_Kwx  | 50 |   213 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   213 |GM_Kwy  | 50 |   212 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   214 |GM_Kwz  | 50 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   215 |GM_PsiX | 50 |   216 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   216 |GM_PsiY | 50 |   215 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   217 |GM_KuzTz| 50 |   218 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   218 |GM_KvzTz| 50 |   217 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   219 |GM_KwzTz| 50 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   220 |GM_ubT  | 50 |   221 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   221 |GM_vbT  | 50 |   220 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   222 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   223 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   224 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   225 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   226 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   227 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   228 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   229 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   230 |SItices |  1 |   222 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   231 |SIuice  |  1 |   232 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   232 |SIvice  |  1 |   231 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   233 |SIfu    |  1 |   234 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uVel
   234 |SIfv    |  1 |   233 |VV      U1|N/m^2           |SEAICE merid. surface wind stress, >0 increases vVel
   235 |SIuwind |  1 |   236 |UM      U1|m/s             |SEAICE zonal 10-m wind speed, >0 increases uVel
   236 |SIvwind |  1 |   235 |VM      U1|m/s             |SEAICE meridional 10-m wind speed, >0 increases uVel
   237 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   238 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   239 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   240 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   241 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   242 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   243 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   244 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   245 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   246 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   247 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   248 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   249 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   250 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   251 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   252 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   253 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   254 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   255 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   256 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   257 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   258 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   259 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   260 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   261 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
