 Total Nb of available Diagnostics: ndiagt=   320
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    97 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    98 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    99 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |RCENTER | 50 |       |SM      MR|m               |Cell-Center Height
   101 |RSURF   |  1 |       |SM      M1|m               |Surface Height
   102 |TOTUTEND| 50 |   103 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
   103 |TOTVTEND| 50 |   102 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   104 |TOTTTEND| 50 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   105 |TOTSTEND| 50 |       |SMR     MR|psu/day         |Tendency of Salinity
   106 |MoistCor| 50 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   107 |gT_Forc | 50 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   108 |gS_Forc | 50 |       |SMR     MR|psu/s           |Salinity forcing tendency
   109 |AB_gT   | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   110 |AB_gS   | 50 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   111 |gTinAB  | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   112 |gSinAB  | 50 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   113 |AB_gU   | 50 |   114 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   114 |AB_gV   | 50 |   113 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   115 |ADVr_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   116 |ADVx_TH | 50 |   117 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   117 |ADVy_TH | 50 |   116 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   118 |DFrE_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   119 |DFxE_TH | 50 |   120 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   120 |DFyE_TH | 50 |   119 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   121 |DFrI_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   122 |ADVr_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   123 |ADVx_SLT| 50 |   124 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   124 |ADVy_SLT| 50 |   123 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   125 |DFrE_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   126 |DFxE_SLT| 50 |   127 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   127 |DFyE_SLT| 50 |   126 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   128 |DFrI_SLT| 50 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   129 |SALTFILL| 50 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   130 |VISCAHZ | 50 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   131 |VISCA4Z | 50 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   132 |VISCAHD | 50 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   133 |VISCA4D | 50 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   134 |VISCAHW | 50 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   135 |VISCA4W | 50 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   136 |VAHZMAX | 50 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMAX | 50 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMAX | 50 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMAX | 50 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZMIN | 50 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZMIN | 50 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDMIN | 50 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DMIN | 50 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTH | 50 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTH | 50 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTH | 50 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTH | 50 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZLTHD| 50 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZLTHD| 50 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   150 |VAHDLTHD| 50 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DLTHD| 50 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   152 |VAHZSMAG| 50 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   153 |VA4ZSMAG| 50 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   154 |VAHDSMAG| 50 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   155 |VA4DSMAG| 50 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   156 |momKE   | 50 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   157 |momHDiv | 50 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   158 |momVort3| 50 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   159 |Strain  | 50 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   160 |Tension | 50 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   161 |UBotDrag| 50 |   162 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   162 |VBotDrag| 50 |   161 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   163 |USidDrag| 50 |   164 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   164 |VSidDrag| 50 |   163 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   165 |Um_Diss | 50 |   166 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   166 |Vm_Diss | 50 |   165 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   167 |Um_Advec| 50 |   168 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   168 |Vm_Advec| 50 |   167 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   169 |Um_Cori | 50 |   170 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   170 |Vm_Cori | 50 |   169 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   171 |Um_dPHdx| 50 |   172 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   172 |Vm_dPHdy| 50 |   171 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   173 |Um_Ext  | 50 |   174 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   174 |Vm_Ext  | 50 |   173 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   175 |Um_AdvZ3| 50 |   176 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   176 |Vm_AdvZ3| 50 |   175 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   177 |Um_AdvRe| 50 |   178 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   178 |Vm_AdvRe| 50 |   177 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   179 |VISrI_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   180 |VISrI_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   181 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   182 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   183 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   184 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   185 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   186 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   187 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   188 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   189 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   190 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 increases uVel
   191 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 increases uVel
   192 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   193 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   194 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   195 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   196 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   197 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   198 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   199 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   201 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   202 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   203 |GGL90TKE| 50 |       |SM      LR|m^2/s^2         |GGL90 sub-grid turbulent kinetic energy
   204 |GGL90Lmx| 50 |       |SM      LR|m               |Mixing length scale
   205 |GGL90Prl| 50 |       |SM      LR|1               |Prandtl number used in GGL90
   206 |GGL90ArU| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at U-point
   207 |GGL90ArV| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at V-point
   208 |GGL90Kr | 50 |       |SM      LR|m^2/s           |GGL90 diffusion coefficient for temperature
   209 |GGL90flx|  1 |       |SM      L1|m^3/s^3         |Surface flux of TKE
   210 |GGL90tau|  1 |       |SM      L1|m^3/s^3         |Work done by the wind
   211 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   212 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   213 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   214 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   215 |GM_Kux  | 50 |   216 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   216 |GM_Kvy  | 50 |   215 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   217 |GM_Kuz  | 50 |   218 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   218 |GM_Kvz  | 50 |   217 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   219 |GM_Kwx  | 50 |   220 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   220 |GM_Kwy  | 50 |   219 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   221 |GM_Kwz  | 50 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   222 |GM_PsiX | 50 |   223 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   223 |GM_PsiY | 50 |   222 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   224 |GM_KuzTz| 50 |   225 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   225 |GM_KvzTz| 50 |   224 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   226 |GM_KwzTz| 50 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   227 |GM_ubT  | 50 |   228 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   228 |GM_vbT  | 50 |   227 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   229 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   230 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   231 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   232 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness (avg. within grid cell)
   233 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   234 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   235 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   236 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   237 |SItices |  1 |   229 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   238 |SIuice  |  1 |   239 |UU      M1|m/s             |SEAICE x-dir. ice velocity (m/s)
   239 |SIvice  |  1 |   238 |VV      M1|m/s             |SEAICE y-dir. ice velocity (m/s)
   240 |SIfu    |  1 |   241 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uVel
   241 |SIfv    |  1 |   240 |VV      U1|N/m^2           |SEAICE merid. surface wind stress, >0 increases vVel
   242 |SIuwind |  1 |   243 |UM      U1|m/s             |SEAICE zonal 10-m wind speed, >0 increases uVel
   243 |SIvwind |  1 |   242 |VM      U1|m/s             |SEAICE meridional 10-m wind speed, >0 increases uVel
   244 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   245 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   246 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   247 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   248 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   249 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   250 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   251 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   252 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   253 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   254 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   255 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   256 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   257 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   258 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   259 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
